Name, Year, Jan., Feb., Mar., Apr., May, June, July, Aug., Sept., Oct., Nov., Dec., Total
Portfolio Returns (%),2021,2.61,4.16,0.67,-2.03,6.99,1.91,1.72,6.86,4.13,4.66,-3.87,3.32,35.3
Benchmark Returns (%),2021,0.87,2.57,0.36,-2.63,6.6,0.73,1.2,8.28,2.48,2.33,-4.09,2.59,22.84
Portfolio Returns (%),2022,-0.07,-4.43,4.2,-2.45,-3.84,-5.25,12.2,1.72,-3.15,6.78,1.29,-3.27,2.34
Benchmark Returns (%),2022,-0.55,-4.45,5.38,-3.89,-2.8,-4.47,9.84,1.12,-3.37,7.62,3.53,-3.35,3.35
Portfolio Returns (%),2023,-1.81,-0.2,-0.2,3.86,4.23,5.32,2.22,-0.31,1.97,-3.06,7.07,7.41,29.25
Benchmark Returns (%),2023,-2.39,-0.5,-0.52,3.39,2.15,4.44,1.92,-1.62,0.67,-3.4,6.11,7.09,18.15
Portfolio Returns (%),2024,-2.07,4.17,0.02,1.02,0,0,0,0,0,0,0,0,4.79
Benchmark Returns (%),2024,-0.87,2.93,0.36,0.63,0,0,0,0,0,0,0,0,4.34
