Name, Year, Jan., Feb., Mar., Apr., May, June, July, Aug., Sept., Oct., Nov., Dec., Total
Portfolio Returns (%),2021,0.47,10.32,6.53,1.78,9.24,-0.61,2.48,11.06,3.02,2.05,-0.08,1.74,58.78
Benchmark Returns (%),2021,0.99,3.66,0.6,-1.36,6.51,1.07,1.68,6.77,2.63,2.09,-3.77,2.22,25.21
Portfolio Returns (%),2022,0.55,-4.85,8.03,3.94,-9.03,-3.56,14.99,4.94,-7.65,6.83,0.63,-4.2,8.21
Benchmark Returns (%),2022,-0.13,-4.59,5.32,-2.3,-4.15,-4.74,10.65,1.79,-3.88,6.99,3.14,-3.26,3.52
Portfolio Returns (%),2023,-6.81,-3.62,1.3,7.75,7.9,4.23,4.25,0.92,4.26,-2.89,11.06,9.51,42.92
Benchmark Returns (%),2023,-3.53,-0.95,-0.28,3.85,3,4.33,2.19,-0.95,0.94,-3.25,7.11,7.43,21.02
Portfolio Returns (%),2024,2.09,5.36,0.25,1.45,0,0,0,0,0,0,0,0,13.35
Benchmark Returns (%),2024,0.37,3.36,0.88,1.31,0,0,0,0,0,0,0,0,8.24
